kh,theta_deg,raffinement,E_R
0.05,0,1,0.000437228876
0.05,0,2,0.0001312008115
0.05,0,3,5.103165156e-05
0.05,0,4,1.851760578e-05
0.05,45,1,0.0005713588384
0.05,45,2,0.0001646959762
0.05,45,3,6.479967098e-05
0.05,45,4,2.212415046e-05
0.2,0,1,0.0003855630447
0.2,0,2,0.0001170861779
0.2,0,3,4.420274968e-05
0.2,0,4,1.755040849e-05
0.2,45,1,0.0006698000294
0.2,45,2,0.0001918033963
0.2,45,3,7.875394111e-05
0.2,45,4,2.383441037e-05
0.4,0,1,0.0006925550553
0.4,0,2,0.0001788585958
0.4,0,3,0.0001049954774
0.4,0,4,1.541643907e-05
0.4,45,1,0.0008617490076
0.4,45,2,0.0002494215296
0.4,45,3,0.0001017655423
0.4,45,4,3.24896711e-05
