kh,theta_deg,X_de,X_a,ecart_absR
0.05,0,2,3,7.826753495e-06
0.05,0,3,4,2.244505294e-05
0.05,0,4,6,8.919173944e-05
0.05,45,2,3,3.540483804e-06
0.05,45,3,4,1.006072528e-05
0.05,45,4,6,4.151446039e-05
0.2,0,2,3,6.022253059e-05
0.2,0,3,4,4.384255915e-05
0.2,0,4,6,0.0007453048466
0.2,45,2,3,3.824656346e-05
0.2,45,3,4,7.749620078e-05
0.2,45,4,6,4.279392971e-05
0.4,0,2,3,0.0002146131496
0.4,0,3,4,0.001319896009
0.4,0,4,6,0.003715175208
0.4,45,2,3,4.346595247e-06
0.4,45,3,4,0.0003014930084
0.4,45,4,6,0.00251508876
