sigma,omega,secteur_B,secteur_C
0.01,0,1.712961919,3.581882095
0.01,0.1,0.1747533231,0.3865363651
0.01,0.3,0.070042743,0.2101055927
0.01,1,0.06028036682,0.3384849544
0.01,3,0.1321436151,0.9181189151
0.01,10,0.3576976059,2.956492009
0.01,30,0.8299415241,7.526321499
0.01,100,2.491736236,10.58284448
0.1,0,1.716843888,3.609089974
0.1,0.1,1.21704283,2.573391604
0.1,0.3,0.5551902239,1.227343961
0.1,1,0.2136343852,0.6598942497
0.1,3,0.1832134255,1.024708622
0.1,10,0.3730019996,2.985165455
0.1,30,0.8354423838,7.531162857
0.1,100,2.493443483,10.58987069
1,0,1.754387415,3.877215543
1,0.1,1.746096167,3.860941723
1,0.3,1.683996812,3.739412068
1,1,1.269988805,2.952474445
1,3,0.6710700367,2.07314615
1,10,0.5265299518,3.283589852
1,30,0.8906878416,7.583401736
1,100,2.510617676,10.65972841
10,0,2.061097961,6.220114911
10,0.1,2.061027695,6.220063405
10,0.3,2.060465999,6.219652066
10,1,2.054129599,6.215061341
10,3,2.002311037,6.181131244
10,10,1.679778674,6.202008127
10,30,1.441707254,8.398618753
10,100,2.691691357,11.32303185
100,0,4.3573763,16.43063984
100,0.1,4.357376598,16.43064038
100,0.3,4.357378976,16.43064464
100,1,4.357406028,16.43069317
100,3,4.357644106,16.43111919
100,10,4.360383489,16.43588889
100,30,4.38671457,16.47202546
100,100,4.811259067,16.41567966
