t,K_B,K_B_prony,K_C,K_C_prony
0,3.65556976,3.657621565,-3.490460106,-3.49145857
0.001002506266,3.330846446,3.328791505,-3.258903162,-3.257385034
0.002005012531,3.035055102,3.033942846,-3.040643136,-3.039901773
0.003007518797,2.769397593,2.769003367,-2.837964957,-2.837790209
0.004010025063,2.530402924,2.530454373,-2.649753731,-2.649923411
0.005012531328,2.314970272,2.315248566,-2.474917449,-2.475259086
0.006015037594,2.120349866,2.120740751,-2.312412403,-2.312833117
0.00701754386,1.944165316,1.944629336,-2.161290118,-2.161753596
0.008020050125,1.784402454,1.784906867,-2.020716644,-2.021195321
0.009022556391,1.639334396,1.639818174,-1.889944707,-1.890394715
0.01002506266,1.507428448,1.507824897,-1.768269922,-1.768645142
0.01102756892,1.387297845,1.387575389,-1.655013878,-1.65529258
0.01203007519,1.2777091,1.277879139,-1.549541905,-1.549731624
0.01303258145,1.177598983,1.177685007,-1.451285182,-1.451401806
0.01403508772,1.086056049,1.08606267,-1.359737322,-1.359784192
0.01503759398,1.00227164,1.002186783,-1.274428963,-1.274398235
0.01604010025,0.9255022738,0.9253234288,-1.194908672,-1.194798885
0.01704260652,0.8550693451,0.8548185097,-1.120747786,-1.1205739
0.01804511278,0.7903779538,0.7900877784,-1.051557206,-1.051341386
0.01904761905,0.7309184549,0.7306082629,-0.9869919324,-0.9867475017
0.02005012531,0.6762404176,0.675910874,-0.9267364873,-0.9264643587
0.02105263158,0.6259238164,0.6255740191,-0.8704879406,-0.8701880696
0.02205513784,0.579574272,0.5792180717,-0.8179546065,-0.8176369498
0.02305764411,0.5368389269,0.5365005731,-0.7688682258,-0.7685498561
0.02406015038,0.4974160421,0.4971120583,-0.7229916824,-0.7226846508
0.02506265664,0.4610421217,0.4607724168,-0.6801114262,-0.6798167836
0.02606516291,0.427469521,0.427227713,-0.6400232971,-0.6397379803
0.02706766917,0.3964585266,0.3962474001,-0.6025278562,-0.602255032
0.02807017544,0.3677889574,0.3676218741,-0.5674386643,-0.5671886755
0.0290726817,0.3412726528,0.3411603212,-0.534591066,-0.5343725586
0.03007518797,0.3167488616,0.3166888186,-0.5038394389,-0.5036522835
0.03107769424,0.2940670076,0.2940486548,-0.4750458952,-0.474884523
0.0320802005,0.2730767205,0.2730948412,-0.4480737667,-0.4479362028
0.03308270677,0.2536350516,0.2536947898,-0.4227925511,-0.422683746
0.03408521303,0.2356192863,0.2357271364,-0.3990865867,-0.3990123738
0.0350877193,0.2189277874,0.2190806901,-0.3768556894,-0.3768154593
0.03609022556,0.2034672447,0.2036534946,-0.3560066505,-0.3559939297
0.03709273183,0.1891416888,0.1893519871,-0.3364458755,-0.3364557133
0.0380952381,0.1758557046,0.176090244,-0.3180815132,-0.3181152278
0.03909774436,0.1635261687,0.1637893016,-0.3008312956,-0.3008929071
0.04010025063,0.1520866979,0.1523765454,-0.2846255009,-0.2847147631
0.04110275689,0.141478925,0.1417851582,-0.2694010833,-0.2695119807
0.04210526316,0.131641405,0.1319536218,-0.2550941937,-0.2552205424
0.04310776942,0.1225094227,0.122825266,-0.2416399899,-0.2417808813
0.04411027569,0.1140248632,0.1143478598,-0.2289791943,-0.2291375594
0.04511278195,0.106142907,0.1064732401,-0.2170625378,-0.2172389701
0.04611528822,0.09882691461,0.09915697479,-0.205847295,-0.2060370628
0.04711779449,0.09203798048,0.09235805566,-0.195290235,-0.1954870872
0.04812030075,0.08573202082,0.08603861922,-0.1853456089,-0.1855473577
0.04912280702,0.0798673558,0.08016369175,-0.1759701721,-0.1761790335
0.05012531328,0.07441258142,0.07470095669,-0.1671284154,-0.1673459166
0.05112781955,0.06934461458,0.06962054218,-0.1587912218,-0.1590142633
0.05213032581,0.06463948504,0.06489482674,-0.1509296565,-0.1511526102
0.05313283208,0.06026741707,0.06049826141,-0.1435116204,-0.1437316129
0.05413533835,0.0561979581,0.05640720689,-0.1365052358,-0.1367238961
0.05513784461,0.05240816217,0.05259978421,-0.1298842918,-0.1301039152
0.05614035088,0.04888329823,0.04905573783,-0.1236286928,-0.1238478272
0.05714285714,0.0456093011,0.04575630997,-0.1177193719,-0.1179333721
0.05814536341,0.04256655111,0.04268412513,-0.1121340842,-0.1123397616
0.05914786967,0.03973257753,0.03982308411,-0.106849177,-0.107047577
0.06015037594,0.03708985852,0.03715826644,-0.1018447841,-0.1020386735
0.06115288221,0.03462865124,0.03467584074,-0.09710670271,-0.09729609243
0.06215538847,0.03234136061,0.03236298214,-0.09262260183,-0.09280397886
0.06315789474,0.03021568047,0.0302077963,-0.08837739926,-0.08854750561
0.064160401,0.02823505106,0.02819924941,-0.08435353513,-0.08451280263
0.06516290727,0.02638553748,0.02632710366,-0.08053555435,-0.0806868914
0.06616541353,0.02466021557,0.0245818578,-0.0769130306,-0.07705762402
0.0671679198,0.02305556292,0.02295469227,-0.07347813721,-0.07361362666
0.06817042607,0.02156456003,0.02143741865,-0.07022100662,-0.07034424694
0.06917293233,0.02017519811,0.0200224329,-0.06712870507,-0.06723950518
0.0701754386,0.01887604878,0.01870267235,-0.06418894223,-0.06429004897
0.07117794486,0.0176616374,0.01747157581,-0.06139365996,-0.06148711101
0.07218045113,0.01653082228,0.01632304686,-0.05873794044,-0.05882246992
0.07318295739,0.01548036889,0.01525141984,-0.05621568969,-0.05628841374
0.07418546366,0.01450188708,0.01425142849,-0.05381756642,-0.0538777061
0.07518796992,0.01358585107,0.01331817688,-0.05153365665,-0.05158355461
0.07619047619,0.012727415,0.01244711259,-0.04935736038,-0.04939958158
0.07719298246,0.01192662616,0.01163400185,-0.04728553173,-0.04731979671
0.07819548872,0.01118288331,0.0108749066,-0.0453147603,-0.04533857166
0.07919799499,0.0104907352,0.01016616319,-0.04343854241,-0.04345061644
0.08020050125,0.009842246272,0.00950436272,-0.04164885014,-0.04165095735
0.08120300752,0.009232757967,0.008886332797,-0.03993998247,-0.03993491652
0.08220551378,0.008662682511,0.008309120665,-0.03830976601,-0.03829809279
0.08320802005,0.008133145799,0.007769977565,-0.03675663397,-0.03673634389
0.08421052632,0.007641099289,0.007266344242,-0.03527634185,-0.0352457699
0.08521303258,0.007180052809,0.006795837528,-0.03386244502,-0.03382269779
0.08621553885,0.006745353554,0.006356237887,-0.03250982693,-0.032463667
0.08721804511,0.006337233948,0.005945477879,-0.03121674067,-0.03116541598
0.08822055138,0.005957823919,0.005561631459,-0.02998280798,-0.02992486974
0.08922305764,0.005606019782,0.005202904052,-0.02880557602,-0.02873912806
0.09022556391,0.005276715253,0.004867623344,-0.02767999105,-0.02760545467
0.09122807018,0.004965254611,0.004554230742,-0.02660137352,-0.02652126702
0.09223057644,0.004671362651,0.004261273436,-0.02556805028,-0.02548412678
0.09323308271,0.004397596692,0.003987397049,-0.02458031987,-0.024491731
0.09423558897,0.004144382101,0.003731338795,-0.02363712406,-0.02354190377
0.09523809524,0.003907961957,0.00349192114,-0.02273466527,-0.02263258853
0.0962406015,0.003683776327,0.003268045902,-0.02186866239,-0.0217618408
0.09724310777,0.00347088469,0.00305868878,-0.02103731216,-0.02092782141
0.09824561404,0.00327182003,0.002862894267,-0.02024119463,-0.02012879022
0.0992481203,0.003088146425,0.00267977092,-0.01948029687,-0.01936310016
0.1002506266,0.002917411959,0.00250848697,-0.0187519649,-0.01862919171
0.1012531328,0.002755309129,0.002348266236,-0.01805234317,-0.01792558776
0.1022556391,0.002600206008,0.002198384327,-0.01737940787,-0.0172508887
0.1032581454,0.002454272384,0.002058165114,-0.01673372462,-0.01660376795
0.1042606516,0.002319841065,0.001926977441,-0.01611601257,-0.01598296765
0.1052631579,0.002195690368,0.001804232075,-0.01552464931,-0.01538729476
0.1062656642,0.002077940862,0.001689378859,-0.01495626427,-0.01481561725
0.1072681704,0.001964342659,0.00158190407,-0.01440860766,-0.01426686067
0.1082706767,0.001856467297,0.001481327959,-0.01388202171,-0.01374000481
0.109273183,0.00175707016,0.001387202455,-0.01337767671,-0.01323408072
0.1102756892,0.001666044894,0.001299109037,-0.01289485823,-0.01274816774
0.1112781955,0.001580105592,0.001216656744,-0.01243074758,-0.01228139084
0.1122807018,0.001496528657,0.00113948033,-0.01198292445,-0.01183291807
0.113283208,0.001416148057,0.001067238536,-0.01155137553,-0.0114019582
0.1142857143,0.001341827185,0.0009996124932,-0.01113747457,-0.01098775845
0.1152882206,0.001274418976,0.0009363042193,-0.01074127525,-0.01058960241
0.1162907268,0.001211365015,0.0008770352324,-0.01036056706,-0.01020680805
0.1172932331,0.00114965707,0.0008215452505,-0.009992854556,-0.009838725877
0.1182957393,0.001089339102,0.0007695909821,-0.009637704302,-0.009484737179
0.1192982456,0.001033108621,0.0007209449988,-0.009296481954,-0.00914425239
0.1203007519,0.0009825864802,0.0006753946838,-0.008969854168,-0.008816709538
0.1213032581,0.0009360298769,0.0006327412521,-0.008656252021,-0.008501572797
0.1223057644,0.0008903560259,0.0005927988364,-0.008353221624,-0.00819833111
0.1233082707,0.0008448433182,0.0005553936347,-0.008059903326,-0.007906496906
0.1243107769,0.0008017985391,0.0005203631149,-0.007777482594,-0.007625604881
0.1253132832,0.0007633936811,0.0004875552739,-0.007507073133,-0.007355210854
0.1263157895,0.0007287367036,0.0004568279448,-0.007247751387,-0.00709489069
0.1273182957,0.0006948796826,0.0004280481518,-0.006997226719,-0.006844239278
0.128320802,0.0006604242403,0.0004010915075,-0.006754255379,-0.006602869573
0.1293233083,0.0006271184616,0.0003758416507,-0.00651971366,-0.006370411688
0.1303258145,0.0005974551122,0.0003521897213,-0.006294991999,-0.006146512041
0.1313283208,0.0005713730465,0.0003300338708,-0.006079783475,-0.005930832548
0.1323308271,0.0005462511173,0.0003092788044,-0.005872074792,-0.005723049855
0.1333333333,0.0005201518836,0.0002898353544,-0.005670316842,-0.005522854623
0.1343358396,0.000494157666,0.0002716200809,-0.005474992234,-0.005329950843
0.1353383459,0.0004708534967,0.0002545549,-0.005287602692,-0.005144055191
0.1363408521,0.0004509359064,0.0002385667353,-0.005108396818,-0.004964896424
0.1373433584,0.0004322699993,0.0002235871937,-0.004935734022,-0.004792214798
0.1383458647,0.0004125521255,0.0002095522613,-0.004767865066,-0.004625761523
0.1393483709,0.0003921525476,0.00019640202,-0.004604837936,-0.00446529825
0.1403508772,0.0003735345827,0.000184080383,-0.004448112594,-0.004310596577
0.1413533835,0.0003580348412,0.0001725348467,-0.004298404892,-0.00416143759
0.1423558897,0.0003441209129,0.0001617162597,-0.004154515771,-0.00401761142
0.143358396,0.0003293129952,0.0001515786065,-0.004014614756,-0.00387891683
0.1443609023,0.0003132826807,0.0001420788055,-0.003878316352,-0.003745160815
0.1453634085,0.0002981854382,0.00013317652,-0.003746906539,-0.003616158234
0.1463659148,0.0002858440588,0.0001248339818,-0.00362145782,-0.00349173145
