kh,R_ref,R_memoire,R_instantane,T_ref,T_memoire,T_instantane,E_R_memoire,E_R_instantane,E_T_memoire,E_T_instantane
0.01,0.01767693834,0.01767651887,0.01767648046,0.9998441764,0.9998441842,0.9998420032,2.372945544e-05,2.590228027e-05,7.833200107e-09,2.173562258e-06
0.02,0.03533348127,0.03533013307,0.03532982601,0.9993773299,0.9993774549,0.9993687345,9.475990098e-05,0.0001034503201,1.250903483e-07,8.600780148e-06
0.03,0.0529493582,0.05293809203,0.05293705686,0.998601327,0.9986019578,0.998582351,0.0002127726664,0.0002323227361,6.316910612e-07,1.900260418e-05
0.04,0.07050454441,0.07047795092,0.0704755011,0.9975192578,0.9975212424,0.9974864208,0.0003771884041,0.0004119353888,1.989549441e-06,3.291858561e-05
0.05,0.08797937958,0.08792771769,0.08792294263,0.9961354047,0.9961402217,0.9960858831,0.0005872045451,0.0006414792652,4.835695706e-06,4.971377589e-05
0.06,0.1053546828,0.1052659931,0.1052577623,0.9944552005,0.9944651182,0.9943869928,0.0008418198853,0.0009199449987,9.973034502e-06,6.858799691e-05
0.07,0.1226118583,0.1224721019,0.1224590697,0.9924851746,0.9925033953,0.9923972527,0.001139827506,0.001246115745,1.835861885e-05,8.858760342e-05
0.08,0.1397329962,0.1395262133,0.139506825,0.9902328909,0.9902636773,0.9901253327,0.001479843061,0.001618595687,3.109013752e-05,0.0001086190348
0.09,0.1567009615,0.1564094491,0.1563819473,0.9877068756,0.9877556588,0.9875809781,0.001860310507,0.002035815611,4.939043015e-05,0.0001274643492
0.1,0.1734994756,0.1731039788,0.1730664108,0.9849165392,0.9849900049,0.9847749103,0.002279526936,0.002496058261,7.459085685e-05,0.0001437978921
0.11,0.1901131851,0.1895931004,0.1895433259,0.9818720918,0.9819782454,0.9817187192,0.002735658316,0.002997473755,0.0001081134775,0.0001562041734
0.12,0.2065277212,0.2058613061,0.2057970056,0.9785844539,0.9787326631,0.9784247525,0.003226758724,0.003538099149,0.0001514525652,0.0001631963958
0.13,0.222729746,0.2218943333,0.2218130173,0.9750651649,0.9752661803,0.9749059999,0.003750790671,0.004115878892,0.0002061558044,0.0001632352983
0.14,0.238706989,0.2376792011,0.2375782186,0.9713262889,0.9715922434,0.9711759781,0.004305646165,0.004728685737,0.0002738055445,0.0001547479537
0.15,0.2544482711,0.2532042318,0.25308078,0.9673803212,0.9677247087,0.9672486158,0.004889164132,0.005374338596,0.0003560001892,0.0001361464007
0.16,0.2699435186,0.2684590586,0.2683101922,0.9632400951,0.9636777301,0.9631381404,0.005499150548,0.00605062272,0.000454336323,0.000105845543
0.17,0.2851837657,0.2834346207,0.2832572618,0.9589186916,0.9594656508,0.9588589698,0.006133396113,0.006755307189,0.000570391586,6.228031397e-05
0.18,0.3001611485,0.2981231465,0.2979140935,0.9544293514,0.9551029004,0.9544256083,0.006789693072,0.007486162102,0.0007057085924,3.921753312e-06
0.19,0.3148688893,0.3125181251,0.3122740628,0.9497853915,0.9506038976,0.9498525491,0.007465850969,0.008240974487,0.0008617800608,7.070813191e-05
0.2,0.3293012725,0.3266142695,0.3263317779,0.9450001269,0.9459829603,0.9451541834,0.008159710576,0.009017561892,0.00104003522,0.0001630227416
