a_over_e,B_e,C_e,Re_B,Re_C
0,-1.416068294,1.578854484,-1.415490279,1.578057451
0.04081632653,-1.334435641,1.660487137,-1.333857626,1.659690104
0.08163265306,-1.252802988,1.74211979,-1.252224972,1.741322757
0.1224489796,-1.171170335,1.823752443,-1.170592319,1.82295541
0.1632653061,-1.089537682,1.905385097,-1.088959666,1.904588063
0.2040816327,-1.007905029,1.98701775,-1.007327013,1.986220716
0.2448979592,-0.9262723757,2.068650403,-0.9256943602,2.067853369
0.2857142857,-0.8446397226,2.150283056,-0.8440617071,2.149486022
0.3265306122,-0.7630070695,2.231915709,-0.7624290541,2.231118675
0.3673469388,-0.6813744165,2.313548362,-0.680796401,2.312751328
0.4081632653,-0.5997417634,2.395181015,-0.599163748,2.394383981
0.4489795918,-0.5181091104,2.476813668,-0.5175310949,2.476016634
0.4897959184,-0.4364764573,2.558446321,-0.4358984418,2.557649287
0.5306122449,-0.3548438042,2.640078974,-0.3542657888,2.63928194
0.5714285714,-0.2732111512,2.721711627,-0.2726331357,2.720914594
0.612244898,-0.1915784981,2.80334428,-0.1910004826,2.802547247
0.6530612245,-0.109945845,2.884976933,-0.1093678296,2.8841799
0.693877551,-0.02831319198,2.966609586,-0.02773517653,2.965812553
0.7346938776,0.05331946108,3.048242239,0.05389747654,3.047445206
0.7755102041,0.1349521141,3.129874892,0.1355301296,3.129077859
0.8163265306,0.2165847672,3.211507546,0.2171627827,3.210710512
0.8571428571,0.2982174203,3.293140199,0.2987954357,3.292343165
0.8979591837,0.3798500733,3.374772852,0.3804280888,3.373975818
0.9387755102,0.4614827264,3.456405505,0.4620607418,3.455608471
0.9795918367,0.5431153794,3.538038158,0.5436933949,3.537241124
1.020408163,0.6247480325,3.619670811,0.625326048,3.618873777
1.06122449,0.7063806856,3.701303464,0.706958701,3.70050643
1.102040816,0.7880133386,3.782936117,0.7885913541,3.782139083
1.142857143,0.8696459917,3.86456877,0.8702240071,3.863771736
1.183673469,0.9512786448,3.946201423,0.9518566602,3.945404389
1.224489796,1.032911298,4.027834076,1.033489313,4.027037043
1.265306122,1.114543951,4.109466729,1.115121966,4.108669696
1.306122449,1.196176604,4.191099382,1.196754619,4.190302349
1.346938776,1.277809257,4.272732035,1.278387272,4.271935002
1.387755102,1.35944191,4.354364688,1.360019926,4.353567655
1.428571429,1.441074563,4.435997341,1.441652579,4.435200308
1.469387755,1.522707216,4.517629995,1.523285232,4.516832961
1.510204082,1.604339869,4.599262648,1.604917885,4.598465614
1.551020408,1.685972522,4.680895301,1.686550538,4.680098267
1.591836735,1.767605175,4.762527954,1.768183191,4.76173092
1.632653061,1.849237828,4.844160607,1.849815844,4.843363573
1.673469388,1.930870481,4.92579326,1.931448497,4.924996226
1.714285714,2.012503135,5.007425913,2.01308115,5.006628879
1.755102041,2.094135788,5.089058566,2.094713803,5.088261532
1.795918367,2.175768441,5.170691219,2.176346456,5.169894185
1.836734694,2.257401094,5.252323872,2.257979109,5.251526838
1.87755102,2.339033747,5.333956525,2.339611762,5.333159491
1.918367347,2.4206664,5.415589178,2.421244415,5.414792145
1.959183673,2.502299053,5.497221831,2.502877068,5.496424798
2,2.583931706,5.578854484,2.584509721,5.578057451
