a_over_e,E_R_kh_0.05,E_R_kh_0.1,E_R_kh_0.2
0.3,0.06990604444,0.1392580731,0.2743560822
0.325,0.06740799194,0.1342739071,0.2644896983
0.35,0.06490996698,0.1292899468,0.2546244879
0.375,0.06241199074,0.1243063579,0.244761657
0.4,0.05991408456,0.1193233067,0.234902415
0.425,0.05741626995,0.114340961,0.2250479761
0.45,0.05491856859,0.1093594896,0.215199561
0.475,0.05242100244,0.1043790635,0.2053583991
0.5,0.04992359379,0.09939985577,0.195525732
0.525,0.0474263653,0.09442204243,0.1857028172
0.55,0.04492934019,0.08944580336,0.1758909349
0.575,0.04243254232,0.08447132343,0.1660913951
0.6,0.03993599646,0.07949879413,0.1563055497
0.625,0.03743972855,0.07452841588,0.1465348076
0.65,0.03494376614,0.06956040131,0.1367806579
0.675,0.03244813904,0.06459498005,0.1270447025
0.7,0.02995288021,0.05963240592,0.1173287059
0.725,0.02745802723,0.05467296798,0.1076346706
0.75,0.0249636246,0.04971700829,0.09796495788
0.775,0.0224697276,0.04476495124,0.08832248511
0.8,0.019976409,0.03981735486,0.07871106707
0.825,0.01748377154,0.03487500535,0.06913603548
0.85,0.0149919728,0.02993910494,0.05960544365
0.875,0.01250127985,0.02501168068,0.05013261391
0.9,0.01001220521,0.02009659033,0.04074214445
0.925,0.007525912026,0.0152024619,0.03148631022
0.95,0.005045813433,0.0103538655,0.02250007997
0.975,0.002588327293,0.005658868655,0.01424885156
1,0.0005908555239,0.002335945369,0.008953169344
1.025,0.002530019019,0.005232524467,0.0116627594
1.05,0.00498462105,0.009882324423,0.01920746328
1.075,0.007461663241,0.01470250209,0.02787709953
1.1,0.009943916309,0.01956392698,0.03686233787
1.125,0.01242786283,0.0244389853,0.04595825079
1.15,0.0149123138,0.02931827045,0.05509264918
1.175,0.01739674797,0.03419765814,0.06423376492
1.2,0.0198808948,0.03907501424,0.07336529081
1.225,0.02236459525,0.04394909062,0.08247783776
1.25,0.024847746,0.04881908257,0.09156548511
1.275,0.02733027417,0.05368442745,0.1006242083
1.3,0.02981212462,0.05854470411,0.1096510929
1.325,0.03229325314,0.06339957869,0.1186439118
1.35,0.03477362258,0.06824877376,0.127600885
1.375,0.03725320048,0.07309204968,0.1365205344
1.4,0.03973195761,0.07792919315,0.1454015949
1.425,0.04220986705,0.08276000962,0.1542429559
1.45,0.04468690356,0.08758431838,0.1630436229
1.475,0.0471630431,0.09240194913,0.1718026911
1.5,0.04963826262,0.09721273959,0.1805193272
1.525,0.05211253975,0.1020165339,0.1891927562
1.55,0.05458585269,0.1068131812,0.1978222517
1.575,0.05705818012,0.1116025349,0.2064071292
1.6,0.05952950105,0.1163844519,0.214946741
1.625,0.06199979481,0.1211587924,0.2234404714
1.65,0.06446904097,0.1259254188,0.2318877346
1.675,0.06693721932,0.1306841961,0.2402879716
1.7,0.06940430981,0.1354349914,0.2486406487
1.725,0.07187029256,0.1401776736,0.2569452557
1.75,0.07433514783,0.1449121136,0.2652013049
1.775,0.07679885599,0.1496381837,0.2734083299
1.8,0.07926139753,0.1543557578,0.2815658851
