a_over_e,ordre
0.6,0.9758032734
0.6333333333,0.9759537422
0.6666666667,0.9763612209
0.7,0.977144056
0.7333333333,0.9784846431
0.7666666667,0.980678766
0.8,0.984237684
0.8333333333,0.9901209955
0.8666666667,1.000340392
0.9,1.019826673
0.9333333333,1.063911801
0.9666666667,1.204072065
1,1.939114881
1.033333333,1.048933305
1.066666667,0.9327483772
1.1,0.9154322243
1.133333333,0.9118845928
1.166666667,0.9108904801
1.2,0.9102732291
1.233333333,0.9095275556
1.266666667,0.9085439431
1.3,0.9073179887
1.333333333,0.9058723187
1.366666667,0.9042338465
1.4,0.9024272526
