t,U_inc,U_refl_reference,U_refl_memoire,U_refl_prony,U_refl_instantane
0,4.785117392e-06,2.519666253e-05,2.111326653e-05,2.11127188e-05,2.028392106e-05
0.05,4.955050854e-06,2.392170644e-05,1.976395354e-05,1.976340358e-05,1.893406528e-05
0.1,5.129960839e-06,2.259331084e-05,1.836753647e-05,1.836698514e-05,1.753841811e-05
0.15,5.309949199e-06,2.121339183e-05,1.69260474e-05,1.692549556e-05,1.609901489e-05
0.2,5.495117863e-06,1.978395441e-05,1.544159722e-05,1.544104575e-05,1.461796792e-05
0.25,5.685568715e-06,1.830708962e-05,1.391637274e-05,1.391582251e-05,1.309746348e-05
0.3,5.881403461e-06,1.678497168e-05,1.235263359e-05,1.235208548e-05,1.153975879e-05
0.35,6.08272349e-06,1.521985494e-05,1.075270906e-05,1.075216395e-05,9.947178867e-06
0.4,6.289629729e-06,1.36140707e-05,9.118994888e-06,9.118453633e-06,8.32211328e-06
0.45,6.502222486e-06,1.197002399e-05,7.453949842e-06,7.453413319e-06,6.667012829e-06
0.5,6.720601287e-06,1.029019018e-05,5.760092355e-06,5.75956143e-06,4.984386145e-06
0.55,6.944864702e-06,8.577111576e-06,4.039997003e-06,4.039472535e-06,3.276796209e-06
0.6,7.175110165e-06,6.833393817e-06,2.296290929e-06,2.295773773e-06,1.546856815e-06
0.65,7.411433779e-06,5.061702308e-06,5.316502168e-07,5.311412188e-07,-2.027710329e-07
0.7,7.653930113e-06,3.264758496e-06,-1.251203805e-06,-1.251703807e-06,-1.969382776e-06
0.75,7.902691994e-06,1.445336114e-06,-3.0495083e-06,-3.04999848e-06,-3.750234002e-06
0.8,8.15781028e-06,-3.937426482e-07,-4.860462711e-06,-4.860942251e-06,-5.542544182e-06
0.85,8.419373627e-06,-2.249611022e-06,-6.681232574e-06,-6.68170067e-06,-7.343500446e-06
0.9,8.687468243e-06,-4.119361588e-06,-8.508953366e-06,-8.509409227e-06,-9.150261382e-06
0.95,8.96217763e-06,-6.000050241e-06,-1.034073437e-05,-1.034117722e-05,-1.095996085e-05
1,9.243582313e-06,-7.888700194e-06,-1.217366257e-05,-1.217409165e-05,-1.276971181e-05
1.05,9.531759559e-06,-9.782305995e-06,-1.400480652e-05,-1.400522108e-05,-1.457661014e-05
1.1,9.826783081e-06,-1.167783758e-05,-1.583122024e-05,-1.583161956e-05,-1.637773851e-05
1.15,1.012872273e-05,-1.35722443e-05,-1.76499471e-05,-1.765033046e-05,-1.817017012e-05
1.2,1.043764416e-05,-1.546245902e-05,-1.945802368e-05,-1.945839039e-05,-1.995097259e-05
1.25,1.075360852e-05,-1.734540212e-05,-2.12524836e-05,-2.125283298e-05,-2.171721164e-05
1.3,1.107667207e-05,-1.921798554e-05,-2.303036134e-05,-2.303069276e-05,-2.346595493e-05
1.35,1.140688582e-05,-2.107711683e-05,-2.478869604e-05,-2.478900886e-05,-2.519427568e-05
1.4,1.174429516e-05,-2.291970309e-05,-2.652453518e-05,-2.652482879e-05,-2.689925635e-05
1.45,1.208893947e-05,-2.474265494e-05,-2.823493827e-05,-2.82352121e-05,-2.857799226e-05
1.5,1.244085166e-05,-2.654289043e-05,-2.991698049e-05,-2.991723397e-05,-3.022759511e-05
1.55,1.280005778e-05,-2.831733889e-05,-3.156775623e-05,-3.156798882e-05,-3.184519646e-05
1.6,1.316657655e-05,-3.006294473e-05,-3.318438254e-05,-3.318459373e-05,-3.342795111e-05
1.65,1.35404189e-05,-3.177667116e-05,-3.476400257e-05,-3.476419187e-05,-3.497304043e-05
1.7,1.392158749e-05,-3.345550385e-05,-3.630378885e-05,-3.630395579e-05,-3.647767558e-05
1.75,1.431007617e-05,-3.509645453e-05,-3.780094649e-05,-3.780109064e-05,-3.793910065e-05
1.8,1.470586949e-05,-3.669656442e-05,-3.925271634e-05,-3.925283729e-05,-3.935459566e-05
1.85,1.510894215e-05,-3.82529077e-05,-4.065637797e-05,-4.065647534e-05,-4.072147951e-05
1.9,1.551925841e-05,-3.976259472e-05,-4.200925257e-05,-4.200932598e-05,-4.203711277e-05
1.95,1.593677154e-05,-4.122277527e-05,-4.33087057e-05,-4.330875483e-05,-4.329890038e-05
2,1.636142316e-05,-4.263064156e-05,-4.455214997e-05,-4.455217451e-05,-4.45042942e-05
2.05,1.679314267e-05,-4.398343123e-05,-4.573704757e-05,-4.573704724e-05,-4.565079544e-05
2.1,1.723184654e-05,-4.527843013e-05,-4.686091261e-05,-4.686088715e-05,-4.673595694e-05
2.15,1.767743768e-05,-4.651297505e-05,-4.792131337e-05,-4.792126255e-05,-4.775738536e-05
2.2,1.81298047e-05,-4.768445621e-05,-4.891587442e-05,-4.891579804e-05,-4.871274314e-05
2.25,1.858882122e-05,-4.879031969e-05,-4.984227853e-05,-4.984217642e-05,-4.959975036e-05
2.3,1.905434508e-05,-4.982806967e-05,-5.069826849e-05,-5.069814048e-05,-5.041618647e-05
2.35,1.952621759e-05,-5.079527053e-05,-5.148164866e-05,-5.148149463e-05,-5.115989176e-05
2.4,2.000426275e-05,-5.16895488e-05,-5.219028652e-05,-5.219010637e-05,-5.182876881e-05
2.45,2.048828637e-05,-5.250859487e-05,-5.282211389e-05,-5.282190754e-05,-5.24207836e-05
2.5,2.097807525e-05,-5.325016466e-05,-5.337512807e-05,-5.337489546e-05,-5.293396664e-05
2.55,2.147339628e-05,-5.391208099e-05,-5.384739277e-05,-5.384713388e-05,-5.336641373e-05
2.6,2.197399555e-05,-5.449223483e-05,-5.42370389e-05,-5.42367537e-05,-5.371628669e-05
2.65,2.247959738e-05,-5.49885864e-05,-5.454226509e-05,-5.45419536e-05,-5.398181386e-05
2.7,2.298990337e-05,-5.539916601e-05,-5.476133814e-05,-5.476100039e-05,-5.416129038e-05
2.75,2.350459141e-05,-5.572207478e-05,-5.489259318e-05,-5.489222923e-05,-5.425307835e-05
2.8,2.40233146e-05,-5.595548511e-05,-5.493443372e-05,-5.493404364e-05,-5.425560673e-05
