omega,abs_R_reference,abs_R_memoire,abs_R_prony,abs_R_instantane
0.06283185307,0.1102544418,0.1101528023,0.1101527964,0.1101433575
0.1256637061,0.2157309794,0.2149716829,0.2149716373,0.2148980616
0.1884955592,0.3126736654,0.3103714669,0.3103713191,0.3101328877
0.2513274123,0.3989072568,0.3941511222,0.3941507898,0.393614314
0.3141592654,0.4738087607,0.4658857791,0.4658851686,0.4648986614
0.3769911184,0.5378988625,0.5263837698,0.5263827829,0.5247862116
0.4398229715,0.5923429107,0.5770861246,0.5770846633,0.5747170177
0.5026548246,0.6385457805,0.6196170681,0.619615037,0.6163183338
0.5654866776,0.6778936715,0.6555230143,0.6555203221,0.6511415502
0.6283185307,0.7116207156,0.6861557855,0.6861523458,0.6805442105
0.6911503838,0.7407573092,0.7126424538,0.712638185,0.7056592276
0.7539822369,0.766122995,0.7358982229,0.7358930484,0.7274074751
