theta_deg,R_reference,R_avec_C,R_sans_C,R_C_herite
0,0.3293012725,0.3266142695,0.3266142695,0.3266142695
2.916666667,0.329048024,0.3263671431,0.3271147198,0.3243929616
5.833333333,0.3282892614,0.3256266475,0.3286199139,0.317681963
8.75,0.3270279744,0.3243954737,0.3311414569,0.3063398168
11.66666667,0.3252692831,0.3226782459,0.3346989424,0.2901303399
14.58333333,0.3230206483,0.3204817356,0.3393203361,0.2687232976
17.5,0.3202921795,0.3178151731,0.3450425209,0.2416982579
20.41666667,0.3170970523,0.3146906712,0.3519120131,0.2085551963
23.33333333,0.313452055,0.3111237789,0.3599858573,0.1687373127
26.25,0.309378293,0.3071341942,0.3693327075,0.1216737451
29.16666667,0.3049020898,0.3027466752,0.3800340944,0.06685206004
32.08333333,0.3000561416,0.2979922052,0.3921858693,0.003988818108
35,0.294881006,0.2929094926,0.4058997895,0.06714144594
37.91666667,0.2894270439,0.2875469221,0.4213051711,0.1458458844
40.83333333,0.2837569883,0.281965132,0.4385504667,0.2310388871
43.75,0.2779494043,0.2762404757,0.4578045051,0.3207703417
46.66666667,0.2721034454,0.2704697715,0.4792569433,0.4123578088
49.58333333,0.266345542,0.2647769697,0.5031171642,0.5026513058
52.5,0.2608390516,0.2593227551,0.5296103636,0.5884804359
55.41666667,0.2557985759,0.2543187784,0.5589687933,0.667151416
58.33333333,0.2515118749,0.2500494209,0.5914149752,0.7368200035
61.25,0.2483746035,0.2469062776,0.62713206,0.7966252129
64.16666667,0.2469476043,0.2454450262,0.6662144274,0.8465859695
67.08333333,0.2480558575,0.2464836588,0.708589568,0.8873537591
70,0.2529688809,0.2512816557,0.7539017788,0.919933385
