kh,E_R_avecC_30deg,E_R_sansC_30deg,E_R_Cfaux_30deg,E_R_avecC_45deg,E_R_sansC_45deg,E_R_Cfaux_45deg,E_R_avecC_60deg,E_R_sansC_60deg,E_R_Cfaux_60deg
0.02,7.946631428e-05,0.3205127113,0.8449649659,6.716519924e-05,0.8761122002,2.309379084,6.33862876e-05,2.073541012,5.443873131
0.03583333333,0.0002547499148,0.3194585065,0.8448985846,0.0002153564337,0.8724790703,2.306506256,0.0002032074907,2.05747925,5.370769481
0.05166666667,0.0005286034736,0.3178212874,0.8447946557,0.0004469949922,0.8668665007,2.302023851,0.0004218913539,2.033017196,5.261845241
0.0675,0.0008998807278,0.3156202787,0.8446533063,0.0007612452083,0.8593774841,2.29595781,0.0007187451745,2.001017398,5.123521563
0.08333333333,0.001367090106,0.312880613,0.8444747141,0.001157020427,0.8501442948,2.288342788,0.001092899944,1.962528737,4.962983511
0.09916666667,0.00192838385,0.3096325477,0.8442591004,0.001632971882,0.8393222331,2.279221641,0.001543269936,1.918699901,4.787325343
0.115,0.002581613348,0.3059104821,0.844006733,0.00218751172,0.8270827625,2.26864475,0.002068567711,1.870698328,4.602933677
0.1308333333,0.003324361073,0.3017519479,0.8437179229,0.002818840503,0.8136066341,2.256669251,0.00266732095,1.819643516,4.415147599
0.1466666667,0.004153984187,0.2971965793,0.8433930244,0.003524970471,0.7990774742,2.243358204,0.003337886452,1.766558952,4.22815528
0.1625,0.005067660541,0.2922851208,0.8430324337,0.004303752659,0.7836761632,2.228779697,0.004078468035,1.712342942,4.045052547
0.1783333333,0.006062431702,0.2870585186,0.8426365873,0.005152906356,0.7675762181,2.213005933,0.004887135465,1.657755899,3.867989545
0.1941666667,0.007135246044,0.2815571173,0.8422059609,0.006070047033,0.7509402695,2.196112305,0.005761844538,1.603420288,3.69834936
0.21,0.008282999515,0.2758199833,0.8417410676,0.007052713917,0.7339176117,2.178176493,0.00670045326,1.549829251,3.536923364
0.2258333333,0.00950257399,0.2698843597,0.8412424564,0.00809839666,0.7166427288,2.159277583,0.007700744702,1.49736027,3.384065222
0.2416666667,0.01079086986,0.2637852567,0.8407107105,0.009204560716,0.6992346563,2.139495246,0.008760443527,1.446291154,3.239817129
0.2575,0.01214483618,0.2575551646,0.8401464455,0.0103686703,0.6817970157,2.118908968,0.009877233826,1.396816342,3.104008407
0.2733333333,0.01356149637,0.2512238791,0.8395503074,0.01158820943,0.6644185584,2.097597359,0.01104877786,1.349062281,2.976329806
0.2891666667,0.01503796815,0.2448184256,0.8389229711,0.01286070033,0.6471740686,2.07563753,0.0122727309,1.303101216,2.856387905
0.305,0.01657148154,0.2383630614,0.838265138,0.01418372053,0.6301254924,2.053104551,0.01354675689,1.258963094,2.743743928
0.3208333333,0.01815939028,0.2318793455,0.8375775344,0.01555491526,0.6133231948,2.030071,0.01486854091,1.216645555,2.637940758
0.3366666667,0.0197991821,0.2253862547,0.8368609095,0.01697200982,0.5968072532,2.006606579,0.0162358025,1.176122132,2.538521233
0.3525,0.02148848421,0.2189003365,0.8361160335,0.01843281835,0.5806087335,1.982777811,0.01764630585,1.137348859,2.445040108
0.3683333333,0.02322506666,0.2124358856,0.8353436957,0.01993525091,0.5647509056,1.958647815,0.01909786937,1.100269519,2.35707151
0.3841666667,0.02500684314,0.2060051331,0.8345447026,0.0214773182,0.5492503717,1.934276141,0.02058837302,1.064819739,2.27421323
0.4,0.02683187019,0.1996184422,0.833719876,0.02305713484,0.5341180922,1.909718667,0.0221157656,1.030930159,2.196088837
