y1,Re_U_homog_a_0e,Re_U_homog_a_1e,Re_U_homog_a_2e,Re_U_reference
-8,-0.5825061281,-0.388834309,-0.5068722392,-0.3735191397
-7.791301301,-0.5746219905,-0.3489715962,-0.4431157292,-0.333798321
-6.731799596,-0.4778956889,-0.1195177949,-0.08307894039,-0.1070165608
-5.833916795,-0.3354650358,0.08259893157,0.2278095447,0.09080795338
-5.072999167,-0.1873347019,0.2351720429,0.4586487894,0.2389559335
-4.42815372,-0.05331436191,0.3385046275,0.6115667603,0.3383310466
-3.881674527,0.05940231701,0.4017200421,0.7015622889,0.3982374754
-3.418556567,0.1502725263,0.4355586321,0.74580509,0.4294123483
-3.02608372,0.2216909019,0.4493921917,0.7591763735,0.4411516612
-2.693479612,0.2769774536,0.4504134875,0.7530687031,0.4405515314
-2.411611724,0.3194147033,0.4437532715,0.7355911648,0.4326485112
-2.172740632,0.3518604633,0.4328938329,0.7122279053,0.4208429357
-1.970307504,0.3766476786,0.4201058981,0.6865319485,0.4073397837
-1.798754005,0.395612215,0.406813447,0.6607059427,0.3935155807
-1.653369684,0.4101673502,0.3938686426,0.6360411975,0.3801947562
-1.530162633,0.4213867141,0.3817477035,0.6132313557,0.3678455351
-1.425749877,0.4300796741,0.37068569,0.5925886837,0.3567120575
-1.337264491,0.4368540039,0.3607670884,0.5741895726,0.3468990762
-1.262276875,0.4421655334,0.3519856032,0.5579705444,0.3384230056
-1.198728049,0.4463563876,0.3442830097,0.5437905003,0.3312401412
-1.144873111,0.4496839236,0.3375739908,0.5314703346,0.3252611934
-1.099233333,0.4523423938,0.3317617061,0.5208175658,0.3203611685
-1.060555556,0.454479056,0.3267472912,0.5116411609,0.3163918284
-1.027777778,0.4562061102,0.3224354206,0.5037600123,0.3131979968
-1,,,,0.3106332084
-0.9722222222,0.5538579943,,,0.3082095307
-0.9444444444,0.5488124795,,,0.3059314669
-0.9166666667,0.5436944638,,,0.3037976782
-0.8888888889,0.5385047076,,,0.3018015594
-0.8611111111,0.5332439807,,,0.2999324302
