y1,Re_U_reference,Re_U_avec_C,Re_U_sans_C
-8,-0.3735191397,-0.388834309,-0.1827890237
-7.791301301,-0.333798321,-0.3489715962,-0.1329169463
-6.731799596,-0.1070165608,-0.1195177949,0.1206951211
-5.833916795,0.09080795338,0.08259893157,0.3059736645
-5.072999167,0.2389559335,0.2351720429,0.4184556693
-4.42815372,0.3383310466,0.3385046275,0.4720472113
-3.881674527,0.3982374754,0.4017200421,0.4844748815
-3.418556567,0.4294123483,0.4355586321,0.471118306
-3.02608372,0.4411516612,0.4493921917,0.4433691955
-2.693479612,0.4405515314,0.4504134875,0.4089095683
-2.411611724,0.4326485112,0.4437532715,0.3725645578
-2.172740632,0.4208429357,0.4328938329,0.3371621744
-1.970307504,0.4073397837,0.4201058981,0.3042182083
-1.798754005,0.3935155807,0.406813447,0.2744264019
-1.653369684,0.3801947562,0.3938686426,0.2479881768
-1.530162633,0.3678455351,0.3817477035,0.2248253587
-1.425749877,0.3567120575,0.37068569,0.2047130099
-1.337264491,0.3468990762,0.3607670884,0.1873599002
-1.262276875,0.3384230056,0.3519856032,0.1724556245
-1.198728049,0.3312401412,0.3442830097,0.1596969511
-1.144873111,0.3252611934,0.3375739908,0.1488015019
-1.099233333,0.3203611685,0.3317617061,0.1395138774
-1.060555556,0.3163918284,0.3267472912,0.1316074057
-1.027777778,0.3131979968,0.3224354206,0.1248834617
-1,0.3106332084,,
-0.9722222222,0.3082095307,,
-0.9444444444,0.3059314669,,
-0.9166666667,0.3037976782,,
-0.8888888889,0.3018015594,,
-0.8611111111,0.2999324302,,
-0.8333333333,0.2981769885,,
-0.8055555556,0.2965206942,,
-0.7777777778,0.2949488802,,
-0.75,0.2934475216,,
-0.7222222222,0.2920036931,,
-0.6944444444,0.290605786,,
-0.6666666667,0.2892435617,,
-0.6388888889,0.2879081052,,
-0.6111111111,0.2865917255,,
-0.5833333333,0.2852878309,,
-0.5555555556,0.2839907992,,
-0.5277777778,0.2826958527,,
-0.5,0.2813989422,,
-0.4722222222,0.2800966438,,
-0.4444444444,0.2787860673,,
-0.4166666667,0.2774647771,,
-0.3888888889,0.276130723,,
-0.3611111111,0.274782182,,
-0.3333333333,0.2734177068,,
-0.3055555556,0.2720360833,,
-0.2777777778,0.2706362928,,
-0.25,0.2692174806,,
-0.2222222222,0.2677789286,,
-0.1944444444,0.2663200312,,
-0.1666666667,0.2648402752,,
-0.1388888889,0.2633392213,,
-0.1111111111,0.2618164881,,
-0.08333333333,0.2602717373,,
-0.05555555556,0.2587046604,,
-0.02777777778,0.2571149659,,
0,0.2555023664,,
0.02777777778,0.2538665667,,
0.05555555556,0.2522072509,,
0.08333333333,0.2505240684,,
0.1111111111,0.2488166197,,
0.1388888889,0.2470844398,,
0.1666666667,0.2453269801,,
0.1944444444,0.2435435871,,
0.2222222222,0.2417334785,,
0.25,0.2398957148,,
0.2777777778,0.2380291667,,
0.3055555556,0.2361324757,,
0.3333333333,0.2342040094,,
0.3611111111,0.2322418068,,
0.3888888889,0.2302435153,,
0.4166666667,0.2282063152,,
0.4444444444,0.226126831,,
0.4722222222,0.224001027,,
0.5,0.2218240841,,
0.5277777778,0.2195902554,,
0.5555555556,0.2172926982,,
0.5833333333,0.2149232793,,
0.6111111111,0.2124723521,,
0.6388888889,0.209928506,,
0.6666666667,0.2072782914,,
0.6944444444,0.2045059295,,
0.7222222222,0.2015930271,,
0.75,0.1985183325,,
0.7777777778,0.1952575896,,
0.8055555556,0.1917835857,,
0.8333333333,0.1880665174,,
0.8611111111,0.1840748358,,
0.8888888889,0.1797767224,,
0.9166666667,0.1751422675,,
0.9444444444,0.1701462402,,
0.9722222222,0.164771064,,
1,0.1590093583,,
1.027777778,0.1528653365,0.1863298835,-0.01122207542
1.060555556,0.1451456877,0.1757956105,-0.01934427498
1.099233333,0.1354390708,0.1633329728,-0.0289148559
1.144873111,0.1232697706,0.1485866224,-0.04018586653
1.198728049,0.1081135804,0.1311368495,-0.05344920913
1.262276875,0.08941235655,0.1104896703,-0.06904030842
1.337264491,0.06657662743,0.08606696225,-0.08734022592
1.425749877,0.03897481005,0.05719812032,-0.1087745598
1.530162633,0.005917660449,0.02311601042,-0.1338063344
1.653369684,-0.03335065106,-0.01703780057,-0.1629182664
1.798754005,-0.07964319452,-0.06418989651,-0.1965769416
1.970307504,-0.1337861418,-0.1192793782,-0.235167068
2.172740632,-0.1965133802,-0.1831458686,-0.2788775271
2.411611724,-0.2682606585,-0.2563232936,-0.3275120073
2.693479612,-0.348804284,-0.3386819997,-0.3801859188
3.02608372,-0.4366694266,-0.4288378199,-0.4348608161
3.418556567,-0.5282147068,-0.5232261602,-0.4876664864
3.881674527,-0.6163082725,-0.6147463594,-0.5319915199
4.42815372,-0.6886085997,-0.6909772934,-0.5574347096
5.072999167,-0.7257783319,-0.7322799238,-0.5489962974
5.833916795,-0.7007122616,-0.7108714189,-0.4874966859
6.731799596,-0.581320013,-0.5934842074,-0.3532712913
7.791301301,-0.3415331545,-0.3525408122,-0.1364861623
8,-0.2854742247,-0.2958559308,-0.08981064554
