a_over_e,E_H1_proche,E_H1_lointain
0,0.292858992,0.251111653
0.1,0.2648351228,0.2258610611
0.2,0.2368568719,0.2005046165
0.3,0.2090866898,0.1751284357
0.4,0.1817254127,0.1498202168
0.5,0.1550428989,0.1246711766
0.6,0.1294413386,0.09978189177
0.7,0.1055915105,0.07528053191
0.8,0.08472486163,0.05139222889
0.9,0.06914366218,0.02883482981
1,0.06230512767,0.01340039548
1.1,0.06628481575,0.02484679344
1.2,0.07885415103,0.04548370583
1.3,0.09617114837,0.06672106952
1.4,0.115650465,0.08763503585
1.5,0.1359480004,0.108003179
1.6,0.1563771823,0.1277365626
1.7,0.1765681214,0.1467891015
1.8,0.1963092469,0.1651341972
1.9,0.2154739432,0.1827566804
2,0.2339847433,0.1996493491
